2019-04-14 01:34:40.01: SIM {TimeUS : 43235199, Roll : 0.0, Pitch : 0.0, Yaw : 360.0, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -1.61347042393e-08}
2019-04-14 01:34:40.11: SIM {TimeUS : 43335159, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -2.17456857854e-07}
2019-04-14 01:34:40.21: SIM {TimeUS : 43435119, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -4.00171472847e-07}
2019-04-14 01:34:40.31: SIM {TimeUS : 43535079, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -6.04655326697e-07}
2019-04-14 01:34:40.41: SIM {TimeUS : 43635039, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -7.90581736965e-07}
2019-04-14 01:34:40.51: SIM {TimeUS : 43734999, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -9.71279291662e-07}
2019-04-14 01:34:40.61: SIM {TimeUS : 43834959, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -1.15550903956e-06}
2019-04-14 01:34:40.71: SIM {TimeUS : 43934919, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -1.36439552989e-06}
2019-04-14 01:34:40.81: SIM {TimeUS : 44034879, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1200008392, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -1.53995665642e-06}
2019-04-14 01:34:40.91: SIM {TimeUS : 44134839, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1499996185, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -1.81072880423e-06}
2019-04-14 01:34:41.01: SIM {TimeUS : 44234799, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1800003052, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -2.05376818485e-06}
2019-04-14 01:34:41.11: SIM {TimeUS : 44334759, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.2099990845, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : -7.32536864234e-06, Q3 : -7.5440798355e-06, Q4 : -2.17028082261e-06}
2019-04-14 01:34:41.21: SIM {TimeUS : 44434719, Roll : -0.16, Pitch : -0.16, Yaw : 359.99, Alt : 30.2700004578, Lat : 49.28357, Lng : -123.11502, Q1 : 0.999998033047, Q2 : -0.00141816423275, Q3 : -0.00140862644184, Q4 : -1.6905954908e-05}
2019-04-14 01:34:41.31: SIM {TimeUS : 44534679, Roll : -0.47, Pitch : -0.41, Yaw : 359.99, Alt : 30.3899993896, Lat : 49.28357, Lng : -123.11502, Q1 : 0.999984920025, Q2 : -0.00414405949414, Q3 : -0.00360071915202, Q4 : -6.05789246038e-05}
2019-04-14 01:34:41.41: SIM {TimeUS : 44634639, Roll : -0.76, Pitch : -0.6, Yaw : 359.98, Alt : 30.5400009155, Lat : 49.28357, Lng : -123.11502, Q1 : 0.999963998795, Q2 : -0.00665355660021, Q3 : -0.00526977516711, Q4 : -0.000125125297927}
2019-04-14 01:34:41.51: SIM {TimeUS : 44734599, Roll : -0.88, Pitch : -0.68, Yaw : 359.98, Alt : 30.7000007629, Lat : 49.28357, Lng : -123.11502, Q1 : 0.999952018261, Q2 : -0.00776490755379, Q3 : -0.00596901914105, Q4 : -0.000199801288545}
2019-04-14 01:34:41.61: SIM {TimeUS : 44834559, Roll : -0.83, Pitch : -0.65, Yaw : 359.97, Alt : 30.8500003815, Lat : 49.28357, Lng : -123.11502, Q1 : 0.999957382679, Q2 : -0.00726206460968, Q3 : -0.00569486850873, Q4 : -0.000279838801362}
2019-04-14 01:34:41.71: SIM {TimeUS : 44934519, Roll : -0.64, Pitch : -0.53, Yaw : 359.96, Alt : 31.0100002289, Lat : 49.28357, Lng : -123.1150201, Q1 : 0.999973416328, Q2 : -0.0056023504585, Q3 : -0.004653041251, Q4 : -0.000353245355655}
