2019-04-14 16:15:09.92: SIM {TimeUS : 44134839, Roll : -0.55, Pitch : -0.43, Yaw : 359.95, Alt : 31.0599994659, Lat : 49.2835701, Lng : -123.1150202, Q1 : 0.999980807304, Q2 : -0.00488056102768, Q3 : -0.00379713391885, Q4 : -0.000416557013523}
2019-04-14 16:15:10.01: SIM {TimeUS : 44234799, Roll : -0.35, Pitch : -0.23, Yaw : 359.94, Alt : 31.2199993134, Lat : 49.2835701, Lng : -123.1150202, Q1 : 0.999993145466, Q2 : -0.00306089082733, Q3 : -0.00202463753521, Q4 : -0.000482210511109}
2019-04-14 16:15:10.11: SIM {TimeUS : 44334759, Roll : -0.16, Pitch : -0.07, Yaw : 359.93, Alt : 31.3799991608, Lat : 49.2835702, Lng : -123.1150203, Q1 : 0.999998629093, Q2 : -0.0014091291232, Q3 : -0.000663937767968, Q4 : -0.000534586142749}
2019-04-14 16:15:10.21: SIM {TimeUS : 44434719, Roll : -0.01, Pitch : 0.0, Yaw : 359.93, Alt : 31.5499992371, Lat : 49.2835702, Lng : -123.1150204, Q1 : 0.999999821186, Q2 : -9.23485786188e-05, Q3 : -2.58353447862e-05, Q4 : -0.000571333803236}
2019-04-14 16:15:10.31: SIM {TimeUS : 44534679, Roll : 0.06, Pitch : 0.02, Yaw : 359.93, Alt : 31.7299995422, Lat : 49.2835703, Lng : -123.1150205, Q1 : 0.999999642372, Q2 : 0.000604168279096, Q3 : 0.000198913374334, Q4 : -0.000587250455283}
2019-04-14 16:15:10.41: SIM {TimeUS : 44634639, Roll : 0.07, Pitch : 0.02, Yaw : 359.93, Alt : 31.9099998474, Lat : 49.2835703, Lng : -123.1150206, Q1 : 0.999999582767, Q2 : 0.000688166648615, Q3 : 0.000199111673282, Q4 : -0.000587524089497}
2019-04-14 16:15:10.51: SIM {TimeUS : 44734599, Roll : 0.06, Pitch : 0.0, Yaw : 359.93, Alt : 32.0900001526, Lat : 49.2835703, Lng : -123.1150206, Q1 : 0.999999701977, Q2 : 0.000536952575203, Q3 : 6.94094705977e-05, Q4 : -0.000571672164369}
2019-04-14 16:15:10.61: SIM {TimeUS : 44834559, Roll : 0.05, Pitch : 0.0, Yaw : 359.93, Alt : 32.2799987793, Lat : 49.2835703, Lng : -123.1150207, Q1 : 0.999999701977, Q2 : 0.00050392880803, Q3 : 4.16400362155e-05, Q4 : -0.000552097510081}
2019-04-14 16:15:10.71: SIM {TimeUS : 44934519, Roll : 0.06, Pitch : 0.01, Yaw : 359.93, Alt : 32.4700012207, Lat : 49.2835703, Lng : -123.1150207, Q1 : 0.999999701977, Q2 : 0.000597713689785, Q3 : 0.000164415076142, Q4 : -0.000528060947545}
2019-04-14 16:15:10.81: SIM {TimeUS : 45034479, Roll : 0.09, Pitch : 0.03, Yaw : 359.94, Alt : 32.6699981689, Lat : 49.2835703, Lng : -123.1150208, Q1 : 0.999999463558, Q2 : 0.000872541684657, Q3 : 0.000291954958811, Q4 : -0.000512761704158}
2019-04-14 16:15:10.91: SIM {TimeUS : 45134439, Roll : 0.13, Pitch : 0.05, Yaw : 359.94, Alt : 32.8699989319, Lat : 49.2835703, Lng : -123.1150208, Q1 : 0.999999046326, Q2 : 0.00120035908185, Q3 : 0.000482921954244, Q4 : -0.000502535200212}
2019-04-14 16:15:11.01: SIM {TimeUS : 45234399, Roll : 0.16, Pitch : 0.09, Yaw : 359.94, Alt : 33.0699996948, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999998569489, Q2 : 0.00142648105975, Q3 : 0.000790007528849, Q4 : -0.000497683591675}
2019-04-14 16:15:11.11: SIM {TimeUS : 45334359, Roll : 0.16, Pitch : 0.12, Yaw : 359.94, Alt : 33.2700004578, Lat : 49.2835704, Lng : -123.1150209, Q1 : 0.999998152256, Q2 : 0.00146188877989, Q3 : 0.00112729030661, Q4 : -0.000497604603879}
2019-04-14 16:15:11.21: SIM {TimeUS : 45434319, Roll : 0.15, Pitch : 0.15, Yaw : 359.94, Alt : 33.4799995422, Lat : 49.2835704, Lng : -123.1150209, Q1 : 0.999998033047, Q2 : 0.00136821996421, Q3 : 0.00137563818134, Q4 : -0.000497670902405}
2019-04-14 16:15:11.31: SIM {TimeUS : 45534279, Roll : 0.14, Pitch : 0.17, Yaw : 359.94, Alt : 33.6800003052, Lat : 49.2835704, Lng : -123.1150209, Q1 : 0.999997854233, Q2 : 0.00128557789139, Q3 : 0.00156573811546, Q4 : -0.000498759036418}
2019-04-14 16:15:11.41: SIM {TimeUS : 45634239, Roll : 0.15, Pitch : 0.17, Yaw : 359.94, Alt : 33.8899993896, Lat : 49.2835704, Lng : -123.1150209, Q1 : 0.999997794628, Q2 : 0.00132862001192, Q3 : 0.00155182997696, Q4 : -0.000500238093082}
2019-04-14 16:15:11.51: SIM {TimeUS : 45734199, Roll : 0.15, Pitch : 0.16, Yaw : 359.94, Alt : 34.0999984741, Lat : 49.2835704, Lng : -123.1150209, Q1 : 0.999997913837, Q2 : 0.00132892630063, Q3 : 0.00147501740139, Q4 : -0.000510012614541}
2019-04-14 16:15:11.61: SIM {TimeUS : 45834159, Roll : 0.13, Pitch : 0.15, Yaw : 359.93, Alt : 34.3100013733, Lat : 49.2835706, Lng : -123.1150209, Q1 : 0.999998211861, Q2 : 0.00115216127597, Q3 : 0.00139050150756, Q4 : -0.000531059224159}
2019-04-14 16:15:11.71: SIM {TimeUS : 45934119, Roll : 0.11, Pitch : 0.11, Yaw : 359.93, Alt : 34.5200004578, Lat : 49.2835706, Lng : -123.1150209, Q1 : 0.999998867512, Q2 : 0.000987034640275, Q3 : 0.00101586023811, Q4 : -0.000546731287614}
2019-04-14 16:15:11.81: SIM {TimeUS : 46034079, Roll : 0.09, Pitch : 0.05, Yaw : 359.93, Alt : 34.7400016785, Lat : 49.2835706, Lng : -123.1150209, Q1 : 0.999999344349, Q2 : 0.000835240643937, Q3 : 0.000502128852531, Q4 : -0.0005706170341}
2019-04-14 16:15:11.91: SIM {TimeUS : 46134039, Roll : 0.07, Pitch : 0.02, Yaw : 359.93, Alt : 34.9500007629, Lat : 49.2835706, Lng : -123.1150209, Q1 : 0.999999582767, Q2 : 0.000683651538566, Q3 : 0.00018805853324, Q4 : -0.000608917383943}
2019-04-14 16:15:12.02: SIM {TimeUS : 46234832, Roll : 0.06, Pitch : 0.01, Yaw : 359.92, Alt : 35.1699981689, Lat : 49.2835706, Lng : -123.1150209, Q1 : 0.999999642372, Q2 : 0.000541262619663, Q3 : 9.50685644057e-05, Q4 : -0.000663630431518}
2019-04-14 16:15:12.11: SIM {TimeUS : 46334792, Roll : 0.05, Pitch : 0.02, Yaw : 359.91, Alt : 35.3899993896, Lat : 49.2835706, Lng : -123.1150208, Q1 : 0.999999582767, Q2 : 0.000499370857142, Q3 : 0.000220478948904, Q4 : -0.000725864374544}
2019-04-14 16:15:12.21: SIM {TimeUS : 46434752, Roll : 0.05, Pitch : 0.03, Yaw : 359.91, Alt : 35.5999984741, Lat : 49.2835706, Lng : -123.1150208, Q1 : 0.999999582767, Q2 : 0.000438247225247, Q3 : 0.000317025318509, Q4 : -0.000778690504376}
2019-04-14 16:15:12.31: SIM {TimeUS : 46534712, Roll : 0.03, Pitch : 0.04, Yaw : 359.9, Alt : 35.8199996948, Lat : 49.2835706, Lng : -123.1150208, Q1 : 0.999999523163, Q2 : 0.000262938498054, Q3 : 0.000406552804634, Q4 : -0.000822483329102}
2019-04-14 16:15:12.41: SIM {TimeUS : 46634672, Roll : 0.0, Pitch : 0.05, Yaw : 359.9, Alt : 36.0400009155, Lat : 49.2835706, Lng : -123.1150208, Q1 : 0.999999523163, Q2 : 7.00849996065e-05, Q3 : 0.000499911955558, Q4 : -0.000862128217705}
2019-04-14 16:15:12.51: SIM {TimeUS : 46734632, Roll : 0.0, Pitch : 0.07, Yaw : 359.89, Alt : 36.2599983215, Lat : 49.2835706, Lng : -123.1150208, Q1 : 0.999999403954, Q2 : -3.65815649275e-05, Q3 : 0.000655518728308, Q4 : -0.000892046198715}
2019-04-14 16:15:12.61: SIM {TimeUS : 46834592, Roll : -0.01, Pitch : 0.07, Yaw : 359.89, Alt : 36.4900016785, Lat : 49.2835704, Lng : -123.1150208, Q1 : 0.999999403954, Q2 : -0.000140282747452, Q3 : 0.000627187779173, Q4 : -0.000910269503947}
2019-04-14 16:15:12.71: SIM {TimeUS : 46934552, Roll : -0.02, Pitch : 0.05, Yaw : 359.89, Alt : 36.7099990845, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999403954, Q2 : -0.000222757211304, Q3 : 0.00052223354578, Q4 : -0.000924509193283}
2019-04-14 16:15:12.81: SIM {TimeUS : 47034512, Roll : -0.02, Pitch : 0.04, Yaw : 359.89, Alt : 36.9300003052, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999463558, Q2 : -0.000258311833022, Q3 : 0.000370574678527, Q4 : -0.00093196000671}
