Roll,Pitch,Yaw,Alt,Lat,Lng
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,360.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,360.0,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502
0.0,0.0,359.99,30.1100006104,49.28357000000001,-123.11502
0.0,0.0,359.99,30.1399993896,49.28357000000001,-123.11502
0.0,0.0,359.99,30.159999847399998,49.28357000000001,-123.11502
0.0,0.0,359.99,30.2000007629,49.28357000000001,-123.11502
-0.08,-0.08,359.99,30.25,49.28357000000001,-123.11502
-0.35,-0.36,359.99,30.340000152600002,49.28357000000001,-123.11502
-0.62,-0.66,359.99,30.489999771100006,49.28357000000001,-123.11502
-0.78,-0.82,359.98,30.6499996185,49.28357000000001,-123.11502
-0.79,-0.78,359.97,30.7999992371,49.28357000000001,-123.11502
-0.67,-0.6,359.96,30.959999084499998,49.28357000000001,-123.1150201
-0.47,-0.37,359.95,31.1100006104,49.2835701,-123.1150202
-0.27,-0.16,359.94,31.270000457800002,49.2835701,-123.1150203
-0.11,-0.01,359.93,31.440000534099998,49.28357020000001,-123.11502040000002
0.0,0.03,359.92,31.6100006104,49.28357020000001,-123.11502040000002
0.07,0.02,359.92,31.790000915500002,49.2835703,-123.1150205
0.07,0.0,359.92,31.969999313400002,49.2835703,-123.1150206
0.06,0.0,359.93,32.159999847399995,49.2835703,-123.1150206
0.05,0.0,359.93,32.3499984741,49.2835703,-123.1150207
0.06,0.01,359.94,32.5400009155,49.2835703,-123.1150207
0.09,0.04,359.94,32.7299995422,49.2835703,-123.11502079999998
0.13,0.07,359.94,32.9300003052,49.2835704,-123.11502079999998
0.16,0.1,359.94,33.1300010681,49.2835704,-123.1150209
0.17,0.13,359.94,33.340000152600005,49.2835704,-123.1150209
0.16,0.15,359.94,33.5400009155,49.2835704,-123.1150209
0.15,0.17,359.94,33.75,49.2835704,-123.1150209
0.15,0.17,359.94,33.9599990845,49.2835704,-123.1150209
0.14,0.16,359.93,34.1699981689,49.2835706,-123.1150209
0.13,0.15,359.93,34.3800010681,49.2835706,-123.1150209
0.11,0.11,359.93,34.590000152600005,49.2835706,-123.1150209
0.09,0.06,359.93,34.8100013733,49.2835706,-123.1150209
0.07,0.03,359.93,35.0200004578,49.2835706,-123.1150209
0.05,0.02,359.92,35.2400016785,49.2835706,-123.1150209
0.05,0.03,359.92,35.4599990845,49.2835706,-123.11502079999998
0.04,0.03,359.91,35.6800003052,49.2835706,-123.11502079999998
0.02,0.02,359.91,35.8899993896,49.2835706,-123.11502079999998
0.0,0.02,359.9,36.1100006104,49.2835706,-123.11502079999998
-0.01,0.04,359.9,36.340000152600005,49.2835706,-123.11502079999998
-0.02,0.05,359.89,36.5600013733,49.2835704,-123.11502079999998
-0.03,0.04,359.89,36.7799987793,49.2835704,-123.1150207
-0.03,0.03,359.88,37.0099983215,49.2835704,-123.1150207
-0.02,0.02,359.88,37.2299995422,49.2835704,-123.1150207
0.0,0.01,359.88,37.4500007629,49.2835704,-123.1150207
0.0,0.0,359.88,37.6800003052,49.2835704,-123.1150207
-0.01,-0.03,359.88,37.909999847399995,49.2835704,-123.1150207
-0.04,-0.05,359.88,38.1300010681,49.2835704,-123.1150207
-0.08,-0.06,359.88,38.3600006104,49.2835704,-123.1150207
-0.11,-0.07,359.88,38.590000152600005,49.2835704,-123.1150207
-0.12,-0.07,359.88,38.8199996948,49.2835704,-123.1150207
-0.11,-0.05,359.88,39.0499992371,49.2835704,-123.1150207
-0.09,-0.04,359.88,39.2799987793,49.2835704,-123.1150207
-0.06,-0.05,359.87,39.5099983215,49.2835704,-123.1150207
