Roll,Pitch,Yaw,Alt,Lat,Lng,Index
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,1
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,2
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,3
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,4
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,5
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,6
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,7
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,8
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,9
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,10
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,11
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,12
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,13
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,14
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,15
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,16
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,17
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,18
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,19
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,20
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,21
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,22
0.0,0.0,360.0,30.1000003815,49.28357000000001,-123.11502,23
0.0,0.0,360.0,30.1000003815,49.28357000000001,-123.11502,24
0.0,0.0,360.0,30.1000003815,49.28357000000001,-123.11502,25
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,26
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,27
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,28
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,29
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,30
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,31
0.0,0.0,359.99,30.1100006104,49.28357000000001,-123.11502,32
0.0,0.0,359.99,30.1299991608,49.28357000000001,-123.11502,33
0.0,0.0,359.99,30.159999847399998,49.28357000000001,-123.11502,34
0.0,0.0,359.99,30.190000534099998,49.28357000000001,-123.11502,35
-0.03,-0.03,359.99,30.229999542199998,49.28357000000001,-123.11502,36
-0.3,-0.26,359.99,30.309999465900002,49.28357000000001,-123.11502,37
-0.61,-0.54,359.99,30.440000534099998,49.28357000000001,-123.11502,38
-0.79,-0.74,359.98,30.590000152600002,49.28357000000001,-123.11502,39
-0.82,-0.79,359.97,30.75,49.28357000000001,-123.11502,40
-0.72,-0.69,359.96,30.909999847399998,49.28357000000001,-123.1150201,41
-0.54,-0.5,359.95,31.059999465900002,49.2835701,-123.1150202,42
-0.32,-0.29,359.94,31.219999313400002,49.2835701,-123.1150202,43
-0.12,-0.11,359.94,31.3899993896,49.28357020000001,-123.1150203,44
0.01,0.0,359.93,31.559999465900002,49.28357020000001,-123.11502040000002,45
0.09,0.04,359.93,31.729999542199998,49.28357020000001,-123.1150205,46
0.11,0.06,359.93,31.920000076300006,49.2835703,-123.1150205,47
0.09,0.08,359.93,32.0999984741,49.2835703,-123.1150206,48
0.07,0.09,359.93,32.2900009155,49.2835703,-123.1150206,49
0.06,0.11,359.94,32.4799995422,49.2835703,-123.1150207,50
0.08,0.12,359.94,32.6800003052,49.2835703,-123.1150207,51
0.11,0.15,359.94,32.8800010681,49.2835703,-123.11502079999998,52
0.13,0.17,359.94,33.0800018311,49.2835704,-123.11502079999998,53
0.15,0.16,359.94,33.2799987793,49.2835704,-123.11502079999998,54
0.15,0.13,359.94,33.4799995422,49.2835704,-123.11502079999998,55
0.15,0.12,359.94,33.6899986267,49.2835704,-123.11502079999998,56
0.14,0.12,359.94,33.9000015259,49.2835704,-123.11502079999998,57
0.15,0.13,359.94,34.1100006104,49.2835704,-123.1150209,58
0.14,0.11,359.93,34.3199996948,49.2835704,-123.11502079999998,59
0.12,0.09,359.93,34.5299987793,49.2835704,-123.11502079999998,60
0.09,0.08,359.93,34.75,49.2835704,-123.11502079999998,61
0.06,0.07,359.93,34.9599990845,49.2835704,-123.11502079999998,62
0.04,0.03,359.93,35.1800003052,49.2835704,-123.11502079999998,63
0.03,0.0,359.92,35.4000015259,49.2835704,-123.11502079999998,64
0.02,0.0,359.92,35.6100006104,49.2835704,-123.11502079999998,65
0.01,0.0,359.92,35.8300018311,49.2835704,-123.11502079999998,66
0.02,0.0,359.91,36.0499992371,49.2835704,-123.1150207,67
0.0,-0.02,359.91,36.2700004578,49.2835704,-123.1150207,68
-0.02,-0.05,359.91,36.5,49.2835704,-123.1150207,69
-0.06,-0.07,359.9,36.7200012207,49.2835704,-123.1150207,70
-0.1,-0.09,359.9,36.9399986267,49.2835704,-123.1150207,71
-0.1,-0.09,359.9,37.1699981689,49.2835704,-123.1150207,72
-0.09,-0.07,359.89,37.3899993896,49.2835704,-123.1150207,73
-0.07,-0.04,359.89,37.6199989319,49.2835704,-123.1150207,74
-0.05,-0.03,359.89,37.840000152600005,49.2835704,-123.1150207,75
-0.05,-0.03,359.89,38.0699996948,49.2835704,-123.1150207,76
