57:51.3,53915925,0,0,353,584.0900269,-35.363261,149.1652299,0.998134792,0,0,-0.061048582,0
57:51.4,54015885,0,0,353,584.0900269,-35.363261,149.1652299,0.998134792,0,0,-0.061048582,0
57:51.5,54115845,0,0,353,584.0900269,-35.363261,149.1652299,0.998134792,0,0,-0.061048582,0
57:51.6,54215805,0,0,353,584.0900269,-35.363261,149.1652299,0.998134792,0,0,-0.061048582,0
57:51.7,54315765,0,0,353,584.0900269,-35.363261,149.1652299,0.998134792,0,0,-0.061048582,0
57:51.8,54415725,0,0,353,584.0900269,-35.363261,149.1652299,0.998134792,0,0,-0.061048582,0
57:51.9,54515685,0,0,353,584.0900269,-35.363261,149.1652299,0.998134792,0,0,-0.061048582,0
57:52.0,54616478,0,0,353,584.0900269,-35.363261,149.1652299,0.998134792,0,0,-0.061048582,0
57:52.1,54716438,0,0,353,584.0900269,-35.363261,149.1652299,0.998134792,0,0,-0.061048582,0
57:52.2,54816398,0,0,353,584.0900269,-35.363261,149.1652299,0.998134792,0,0,-0.061048582,0
57:52.3,54916358,0,0,353,584.0900269,-35.363261,149.1652299,0.998134792,0,0,-0.061048582,0
