2019-04-03 21:31:26.99: SIM {TimeUS : 192015663, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.090026855, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486790538}
2019-04-03 21:31:27.10: SIM {TimeUS : 192116456, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.090026855, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486753285}
2019-04-03 21:31:27.20: SIM {TimeUS : 192216416, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.090026855, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486753285}
2019-04-03 21:31:27.30: SIM {TimeUS : 192316376, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.099975586, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486753285}
2019-04-03 21:31:27.40: SIM {TimeUS : 192416336, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.109985352, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486827791}
2019-04-03 21:31:27.50: SIM {TimeUS : 192516296, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.119995117, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486753285}
2019-04-03 21:31:27.60: SIM {TimeUS : 192616256, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.150024414, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610487014055}
2019-04-03 21:31:27.70: SIM {TimeUS : 192716216, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.179992676, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486753285}
2019-04-03 21:31:27.80: SIM {TimeUS : 192816176, Roll : 0.0, Pitch : 0.0, Yaw : 352.99, Alt : 584.219970703, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134732246, Q2 : -3.4305430745e-05, Q3 : -2.3377378966e-05, Q4 : -0.0610494688153}
2019-04-03 21:31:27.90: SIM {TimeUS : 192916136, Roll : -0.08, Pitch : -0.07, Yaw : 352.99, Alt : 584.280029297, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998133003712, Q2 : -0.000801645102911, Q3 : -0.000572641438339, Q4 : -0.0610699951649}
2019-04-03 21:31:28.00: SIM {TimeUS : 193016096, Roll : -0.23, Pitch : -0.18, Yaw : 352.99, Alt : 584.409973145, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.99812746048, Q2 : -0.00216076290235, Q3 : -0.00150781625416, Q4 : -0.0611120536923}
2019-04-03 21:31:28.10: SIM {TimeUS : 193116056, Roll : -0.36, Pitch : -0.28, Yaw : 352.98, Alt : 584.559997559, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998118817806, Q2 : -0.00329467304982, Q3 : -0.00230344152078, Q4 : -0.0611770041287}
2019-04-03 21:31:28.20: SIM {TimeUS : 193216016, Roll : -0.42, Pitch : -0.33, Yaw : 352.97, Alt : 584.719970703, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998111128807, Q2 : -0.0039199218154, Q3 : -0.0026800497435, Q4 : -0.0612505748868}
2019-04-03 21:31:28.30: SIM {TimeUS : 193315976, Roll : -0.4, Pitch : -0.28, Yaw : 352.96, Alt : 584.869995117, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.99810808897, Q2 : -0.00368388881907, Q3 : -0.00230504758656, Q4 : -0.0613304190338}
2019-04-03 21:31:28.40: SIM {TimeUS : 193415936, Roll : -0.3, Pitch : -0.2, Yaw : 352.95, Alt : 585.020019531, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998107373714, Q2 : -0.00279631069861, Q3 : -0.00161951524206, Q4 : -0.0614108368754}
2019-04-03 21:31:28.50: SIM {TimeUS : 193515896, Roll : -0.17, Pitch : -0.12, Yaw : 352.95, Alt : 585.16998291, Lat : -35.363261, Lng : 149.1652298, Q1 : 0.99810642004, Q2 : -0.00162286683917, Q3 : -0.000986057100818, Q4 : -0.0614814348519}
2019-04-03 21:31:28.60: SIM {TimeUS : 193615856, Roll : -0.06, Pitch : -0.07, Yaw : 352.94, Alt : 585.33001709, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998104333878, Q2 : -0.000610456976574, Q3 : -0.000582909386139, Q4 : -0.0615390315652}
2019-04-03 21:31:28.70: SIM {TimeUS : 193715816, Roll : 0.01, Pitch : -0.05, Yaw : 352.93, Alt : 585.5, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998102009296, Q2 : 0.00014480255777, Q3 : -0.000458645634353, Q4 : -0.0615807510912}
2019-04-03 21:31:28.80: SIM {TimeUS : 193815776, Roll : 0.04, Pitch : -0.05, Yaw : 352.93, Alt : 585.679992676, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998100340366, Q2 : 0.000381642923458, Q3 : -0.000491523416713, Q4 : -0.0616066269577}
2019-04-03 21:31:28.90: SIM {TimeUS : 193915736, Roll : 0.02, Pitch : -0.04, Yaw : 352.93, Alt : 585.859985352, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998099982738, Q2 : 0.000237813525018, Q3 : -0.00038504684926, Q4 : -0.0616141147912}
2019-04-03 21:31:29.00: SIM {TimeUS : 194015696, Roll : -0.02, Pitch : -0.02, Yaw : 352.93, Alt : 586.039978027, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998100042343, Q2 : -0.000232680671616, Q3 : -0.000203878807952, Q4 : -0.0616139210761}
2019-04-03 21:31:29.10: SIM {TimeUS : 194116489, Roll : -0.05, Pitch : 0.0, Yaw : 352.93, Alt : 586.229980469, Lat : -35.3632608, Lng : 149.1652297, Q1 : 0.998100817204, Q2 : -0.000488763034809, Q3 : -5.37185587746e-05, Q4 : -0.0616000518203}
2019-04-03 21:31:29.20: SIM {TimeUS : 194216449, Roll : -0.05, Pitch : 0.0, Yaw : 352.93, Alt : 586.41998291, Lat : -35.3632608, Lng : 149.1652297, Q1 : 0.998102009296, Q2 : -0.000518541433848, Q3 : -4.2936335376e-05, Q4 : -0.0615806803107}
2019-04-03 21:31:29.30: SIM {TimeUS : 194316409, Roll : -0.03, Pitch : -0.02, Yaw : 352.94, Alt : 586.609985352, Lat : -35.3632608, Lng : 149.1652297, Q1 : 0.998103797436, Q2 : -0.000276539096376, Q3 : -0.000168355472852, Q4 : -0.0615525692701}
2019-04-03 21:31:29.40: SIM {TimeUS : 194416369, Roll : 0.01, Pitch : -0.03, Yaw : 352.94, Alt : 586.799987793, Lat : -35.3632608, Lng : 149.1652296, Q1 : 0.998105227947, Q2 : 7.58843161748e-05, Q3 : -0.000339616846759, Q4 : -0.061529558152}
2019-04-03 21:31:29.50: SIM {TimeUS : 194516329, Roll : 0.06, Pitch : -0.03, Yaw : 352.94, Alt : 587.0, Lat : -35.3632608, Lng : 149.1652296, Q1 : 0.998105883598, Q2 : 0.000513816252351, Q3 : -0.000325724016875, Q4 : -0.0615168362856}
2019-04-03 21:31:29.60: SIM {TimeUS : 194616289, Roll : 0.1, Pitch : -0.02, Yaw : 352.94, Alt : 587.200012207, Lat : -35.3632608, Lng : 149.1652296, Q1 : 0.998106062412, Q2 : 0.000862947432324, Q3 : -0.000228267410421, Q4 : -0.0615101233125}
2019-04-03 21:31:29.70: SIM {TimeUS : 194716249, Roll : 0.09, Pitch : 0.0, Yaw : 352.94, Alt : 587.409973145, Lat : -35.3632607, Lng : 149.1652294, Q1 : 0.998106181622, Q2 : 0.000850399665069, Q3 : -0.000114742913865, Q4 : -0.0615082345903}
