2019-04-03 20:07:54.39: SIM {TimeUS : 120016141, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.090026855, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486753285}
2019-04-03 20:07:54.49: SIM {TimeUS : 120116101, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.090026855, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486753285}
2019-04-03 20:07:54.59: SIM {TimeUS : 120216061, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.090026855, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486753285}
2019-04-03 20:07:54.69: SIM {TimeUS : 120316021, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.099975586, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486753285}
2019-04-03 20:07:54.79: SIM {TimeUS : 120415981, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.099975586, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486753285}
2019-04-03 20:07:54.89: SIM {TimeUS : 120515941, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.109985352, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486753285}
2019-04-03 20:07:54.99: SIM {TimeUS : 120615901, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.119995117, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486790538}
2019-04-03 20:07:55.09: SIM {TimeUS : 120715861, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.150024414, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486753285}
2019-04-03 20:07:55.19: SIM {TimeUS : 120815821, Roll : 0.0, Pitch : 0.0, Yaw : 353.0, Alt : 584.179992676, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134791851, Q2 : 0.0, Q3 : 0.0, Q4 : -0.0610486753285}
2019-04-03 20:07:55.29: SIM {TimeUS : 120915781, Roll : 0.0, Pitch : 0.0, Yaw : 352.99, Alt : 584.219970703, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998134732246, Q2 : -3.96775249101e-05, Q3 : -2.4818109523e-05, Q4 : -0.0610497631133}
2019-04-03 20:07:55.39: SIM {TimeUS : 121015741, Roll : -0.06, Pitch : -0.06, Yaw : 352.99, Alt : 584.289978027, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998133301735, Q2 : -0.000585110625252, Q3 : -0.000542909197975, Q4 : -0.0610681883991}
2019-04-03 20:07:55.49: SIM {TimeUS : 121115701, Roll : -0.13, Pitch : -0.17, Yaw : 352.99, Alt : 584.409973145, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998129546642, Q2 : -0.00127349386457, Q3 : -0.00149213895202, Q4 : -0.0611036196351}
2019-04-03 20:07:55.59: SIM {TimeUS : 121215661, Roll : -0.18, Pitch : -0.26, Yaw : 352.98, Alt : 584.570007324, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998124420643, Q2 : -0.00176286767237, Q3 : -0.00224684271961, Q4 : -0.0611515380442}
2019-04-03 20:07:55.70: SIM {TimeUS : 121316454, Roll : -0.21, Pitch : -0.28, Yaw : 352.98, Alt : 584.719970703, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.99811989069, Q2 : -0.00202470319346, Q3 : -0.00237638992257, Q4 : -0.0612127631903}
2019-04-03 20:07:55.80: SIM {TimeUS : 121416414, Roll : -0.22, Pitch : -0.24, Yaw : 352.97, Alt : 584.880004883, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998116374016, Q2 : -0.0021180966869, Q3 : -0.00204999372363, Q4 : -0.0612781122327}
2019-04-03 20:07:55.90: SIM {TimeUS : 121516374, Roll : -0.19, Pitch : -0.18, Yaw : 352.96, Alt : 585.030029297, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998114168644, Q2 : -0.00183483737055, Q3 : -0.00149595667608, Q4 : -0.0613390915096}
2019-04-03 20:07:56.00: SIM {TimeUS : 121616334, Roll : -0.19, Pitch : -0.12, Yaw : 352.96, Alt : 585.179992676, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998112142086, Q2 : -0.00177171267569, Q3 : -0.000957228126936, Q4 : -0.0613849312067}
