Roll,Pitch,Yaw,Alt,Lat,Lng,Category
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,0.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,360.0,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1000003815,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1200008392,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1399993896,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.1800003052,49.28357000000001,-123.11502,0
0.0,0.0,359.99,30.209999084499998,49.28357000000001,-123.11502,0
-0.17,-0.16,359.99,30.270000457800002,49.28357000000001,-123.11502,0
-0.49,-0.45,359.99,30.3899993896,49.28357000000001,-123.11502,0
-0.76,-0.69,359.98,30.540000915500002,49.28357000000001,-123.11502,0
-0.88,-0.78,359.98,30.7000007629,49.28357000000001,-123.11502,0
-0.81,-0.74,359.96,30.8500003815,49.28357000000001,-123.1150201,0
-0.63,-0.59,359.95,31.010000228899997,49.28357000000001,-123.1150201,0
-0.4,-0.37,359.94,31.170000076300006,49.2835701,-123.1150202,0
-0.18,-0.17,359.94,31.329999923699997,49.2835701,-123.1150203,0
-0.03,-0.02,359.93,31.5,49.28357020000001,-123.11502040000002,0
0.05,0.04,359.93,31.670000076300006,49.28357020000001,-123.1150205,0
0.09,0.06,359.93,31.8500003815,49.2835703,-123.1150205,0
0.1,0.04,359.93,32.0400009155,49.2835703,-123.1150206,0
0.09,0.03,359.93,32.2299995422,49.2835703,-123.1150206,0
0.08,0.04,359.94,32.4199981689,49.2835703,-123.1150207,0
0.05,0.07,359.94,32.6100006104,49.2835703,-123.1150207,0
0.06,0.12,359.94,32.8100013733,49.2835703,-123.11502079999998,0
0.1,0.17,359.94,33.0099983215,49.2835704,-123.11502079999998,0
0.14,0.19,359.94,33.2099990845,49.2835704,-123.11502079999998,0
0.16,0.21,359.94,33.4199981689,49.2835704,-123.11502079999998,0
0.17,0.19,359.94,33.6199989319,49.2835704,-123.1150209,0
0.16,0.15,359.94,33.8300018311,49.2835704,-123.1150209,0
0.15,0.12,359.93,34.0400009155,49.2835704,-123.1150209,0
0.14,0.1,359.93,34.25,49.2835704,-123.1150209,0
0.14,0.1,359.92,34.4599990845,49.2835704,-123.1150209,0
0.13,0.08,359.92,34.6699981689,49.2835704,-123.1150209,0
0.1,0.07,359.92,34.8899993896,49.2835704,-123.11502079999998,0
