2019-04-03 20:04:22.40: SIM {TimeUS : 82416187, Roll : -0.01, Pitch : 0.0, Yaw : 352.97, Alt : 585.369995117, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998123466969, Q2 : -0.000102399906609, Q3 : 8.04213705123e-05, Q4 : -0.0612331666052}
2019-04-03 20:04:22.50: SIM {TimeUS : 82516147, Roll : 0.02, Pitch : 0.05, Yaw : 352.97, Alt : 585.539978027, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998122751713, Q2 : 0.000255545572145, Q3 : 0.000459103001049, Q4 : -0.0612431317568}
2019-04-03 20:04:22.60: SIM {TimeUS : 82616107, Roll : 0.04, Pitch : 0.05, Yaw : 352.97, Alt : 585.719970703, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998122096062, Q2 : 0.000408803636674, Q3 : 0.000481217750348, Q4 : -0.0612526498735}
2019-04-03 20:04:22.70: SIM {TimeUS : 82716067, Roll : 0.05, Pitch : 0.06, Yaw : 352.97, Alt : 585.900024414, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998121440411, Q2 : 0.000518444634508, Q3 : 0.000507427961566, Q4 : -0.061261922121}
2019-04-03 20:04:22.80: SIM {TimeUS : 82816027, Roll : 0.05, Pitch : 0.07, Yaw : 352.97, Alt : 586.08001709, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998121142387, Q2 : 0.000527122232597, Q3 : 0.000629964633845, Q4 : -0.0612659603357}
2019-04-03 20:04:22.90: SIM {TimeUS : 82915987, Roll : 0.05, Pitch : 0.1, Yaw : 352.97, Alt : 586.25, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998120725155, Q2 : 0.000564078451134, Q3 : 0.000877803482581, Q4 : -0.0612695552409}
2019-04-03 20:04:23.00: SIM {TimeUS : 83015947, Roll : 0.05, Pitch : 0.23, Yaw : 352.97, Alt : 586.409973145, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998118877411, Q2 : 0.000647126522381, Q3 : 0.00201366422698, Q4 : -0.061271674931}
2019-04-03 20:04:23.10: SIM {TimeUS : 83115907, Roll : 0.0, Pitch : 0.69, Yaw : 352.97, Alt : 586.559997559, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998102724552, Q2 : 0.000352673319867, Q3 : 0.00608738092706, Q4 : -0.0612685382366}
2019-04-03 20:04:23.20: SIM {TimeUS : 83215867, Roll : -0.16, Pitch : 1.49, Yaw : 352.97, Alt : 586.700012207, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998035907745, Q2 : -0.000616514298599, Q3 : 0.0130775719881, Q4 : -0.0612609349191}
2019-04-03 20:04:23.30: SIM {TimeUS : 83315827, Roll : -0.39, Pitch : 2.52, Yaw : 352.96, Alt : 586.840026855, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.997874617577, Q2 : -0.00205171783455, Q3 : 0.0221664104611, Q4 : -0.0612434707582}
2019-04-03 20:04:23.40: SIM {TimeUS : 83415787, Roll : -0.62, Pitch : 3.66, Yaw : 352.95, Alt : 586.960021973, Lat : -35.363261, Lng : 149.1652298, Q1 : 0.997598111629, Q2 : -0.00351765193045, Q3 : 0.0322296544909, Q4 : -0.0612121075392}
2019-04-03 20:04:23.50: SIM {TimeUS : 83515747, Roll : -0.85, Pitch : 4.8, Yaw : 352.94, Alt : 587.059997559, Lat : -35.363261, Lng : 149.1652298, Q1 : 0.997217774391, Q2 : -0.00483993440866, Q3 : 0.0423346497118, Q4 : -0.0611644200981}
2019-04-03 20:04:23.60: SIM {TimeUS : 83615707, Roll : -1.04, Pitch : 5.82, Yaw : 352.93, Alt : 587.159973145, Lat : -35.3632611, Lng : 149.1652298, Q1 : 0.996796905994, Q2 : -0.0059920088388, Q3 : 0.0512654595077, Q4 : -0.0610895752907}
2019-04-03 20:04:23.69: SIM {TimeUS : 83715667, Roll : -1.2, Pitch : 6.6, Yaw : 352.92, Alt : 587.25, Lat : -35.3632614, Lng : 149.1652298, Q1 : 0.996421337128, Q2 : -0.00689386064187, Q3 : 0.0581194236875, Q4 : -0.0609848573804}
2019-04-03 20:04:23.80: SIM {TimeUS : 83816460, Roll : -1.33, Pitch : 7.16, Yaw : 352.92, Alt : 587.320007324, Lat : -35.3632617, Lng : 149.1652298, Q1 : 0.996122121811, Q2 : -0.00773456180468, Q3 : 0.0630775466561, Q4 : -0.0608451254666}
2019-04-03 20:04:23.90: SIM {TimeUS : 83916420, Roll : -1.43, Pitch : 7.58, Yaw : 352.92, Alt : 587.390014648, Lat : -35.3632622, Lng : 149.1652297, Q1 : 0.995884537697, Q2 : -0.00841292645782, Q3 : 0.0667803660035, Q4 : -0.060692936182}
2019-04-03 20:04:24.00: SIM {TimeUS : 84016380, Roll : -1.52, Pitch : 7.91, Yaw : 352.93, Alt : 587.460021973, Lat : -35.3632627, Lng : 149.1652297, Q1 : 0.995686650276, Q2 : -0.00902430247515, Q3 : 0.0697318166494, Q4 : -0.0605320967734}
2019-04-03 20:04:24.10: SIM {TimeUS : 84116340, Roll : -1.61, Pitch : 8.16, Yaw : 352.94, Alt : 587.510009766, Lat : -35.3632633, Lng : 149.1652296, Q1 : 0.995533168316, Q2 : -0.00963394343853, Q3 : 0.0719422623515, Q4 : -0.0603757314384}
2019-04-03 20:04:24.20: SIM {TimeUS : 84216300, Roll : -1.67, Pitch : 8.31, Yaw : 352.95, Alt : 587.559997559, Lat : -35.3632639, Lng : 149.1652296, Q1 : 0.995443820953, Q2 : -0.0101100215688, Q3 : 0.0732098445296, Q4 : -0.0602472163737}
2019-04-03 20:04:24.30: SIM {TimeUS : 84316260, Roll : -1.73, Pitch : 8.37, Yaw : 352.95, Alt : 587.609985352, Lat : -35.3632646, Lng : 149.1652294, Q1 : 0.9953982234, Q2 : -0.0106163816527, Q3 : 0.0738407596946, Q4 : -0.0601437315345}
2019-04-03 20:04:24.40: SIM {TimeUS : 84416220, Roll : -1.81, Pitch : 8.42, Yaw : 352.96, Alt : 587.659973145, Lat : -35.3632655, Lng : 149.1652293, Q1 : 0.995366871357, Q2 : -0.0112457843497, Q3 : 0.0742371529341, Q4 : -0.0600598976016}
2019-04-03 20:04:24.50: SIM {TimeUS : 84516180, Roll : -1.88, Pitch : 8.51, Yaw : 352.95, Alt : 587.700012207, Lat : -35.3632665, Lng : 149.1652293, Q1 : 0.995299398899, Q2 : -0.0118175502867, Q3 : 0.0750842168927, Q4 : -0.0600158683956}
