2019-04-14 04:37:23.11: SIM {TimeUS : 42334726, Roll : 0.0, Pitch : 0.0, Yaw : 360.0, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -2.4248850039e-08}
2019-04-14 04:37:23.21: SIM {TimeUS : 42434686, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -2.24946290928e-07}
2019-04-14 04:37:23.31: SIM {TimeUS : 42534646, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -4.33072557371e-07}
2019-04-14 04:37:23.41: SIM {TimeUS : 42634606, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -6.26563064543e-07}
2019-04-14 04:37:23.51: SIM {TimeUS : 42734566, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -8.26377004159e-07}
2019-04-14 04:37:23.61: SIM {TimeUS : 42834526, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -1.02474291452e-06}
2019-04-14 04:37:23.71: SIM {TimeUS : 42934486, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -1.24459177187e-06}
2019-04-14 04:37:23.81: SIM {TimeUS : 43034446, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -1.45909496041e-06}
2019-04-14 04:37:23.91: SIM {TimeUS : 43134406, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1200008392, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -1.71579097241e-06}
2019-04-14 04:37:24.01: SIM {TimeUS : 43234366, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1399993896, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -1.91641333913e-06}
2019-04-14 04:37:24.11: SIM {TimeUS : 43334326, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1800003052, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -2.19818525693e-06}
2019-04-14 04:37:24.21: SIM {TimeUS : 43434286, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.2099990845, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : -7.53603580961e-06, Q3 : -6.59044553686e-06, Q4 : -2.45959154199e-06}
2019-04-14 04:37:24.31: SIM {TimeUS : 43534246, Roll : -0.16, Pitch : -0.15, Yaw : 359.99, Alt : 30.2700004578, Lat : 49.28357, Lng : -123.11502, Q1 : 0.999997973442, Q2 : -0.00148071127478, Q3 : -0.00134852353949, Q4 : -1.90190039575e-05}
2019-04-14 04:37:24.41: SIM {TimeUS : 43634206, Roll : -0.45, Pitch : -0.44, Yaw : 359.99, Alt : 30.3899993896, Lat : 49.28357, Lng : -123.11502, Q1 : 0.999984502792, Q2 : -0.00396450795233, Q3 : -0.0039061291609, Q4 : -6.44387837383e-05}
2019-04-14 04:37:24.51: SIM {TimeUS : 43734166, Roll : -0.69, Pitch : -0.72, Yaw : 359.98, Alt : 30.5400009155, Lat : 49.28357, Lng : -123.11502, Q1 : 0.999961853027, Q2 : -0.00603724597022, Q3 : -0.0063127358444, Q4 : -0.000137578943395}
2019-04-14 04:37:24.61: SIM {TimeUS : 43834126, Roll : -0.79, Pitch : -0.84, Yaw : 359.98, Alt : 30.7000007629, Lat : 49.28357, Lng : -123.11502, Q1 : 0.999948680401, Q2 : -0.00696425884962, Q3 : -0.00735674845055, Q4 : -0.000223983777687}
2019-04-14 04:37:24.71: SIM {TimeUS : 43934086, Roll : -0.75, Pitch : -0.76, Yaw : 359.96, Alt : 30.8500003815, Lat : 49.28357, Lng : -123.1150201, Q1 : 0.999955713749, Q2 : -0.00661720568314, Q3 : -0.00668131513521, Q4 : -0.000313193566399}
2019-04-14 04:37:24.81: SIM {TimeUS : 44034046, Roll : -0.6, Pitch : -0.55, Yaw : 359.95, Alt : 31.0100002289, Lat : 49.2835701, Lng : -123.1150201, Q1 : 0.999973893166, Q2 : -0.00531134661287, Q3 : -0.00488229468465, Q4 : -0.000399128010031}
2019-04-14 04:37:24.92: SIM {TimeUS : 44134839, Roll : -0.4, Pitch : -0.31, Yaw : 359.94, Alt : 31.1599998474, Lat : 49.2835701, Lng : -123.1150202, Q1 : 0.99998986721, Q2 : -0.00352767249569, Q3 : -0.00276237586513, Q4 : -0.000472589716082}
2019-04-14 04:37:25.01: SIM {TimeUS : 44234799, Roll : -0.21, Pitch : -0.11, Yaw : 359.94, Alt : 31.3199996948, Lat : 49.2835702, Lng : -123.1150203, Q1 : 0.99999755621, Q2 : -0.0018997346051, Q3 : -0.00101746886503, Q4 : -0.000523306545801}
2019-04-14 04:37:25.11: SIM {TimeUS : 44334759, Roll : -0.07, Pitch : 0.01, Yaw : 359.93, Alt : 31.4899997711, Lat : 49.2835702, Lng : -123.1150204, Q1 : 0.999999642372, Q2 : -0.000657270138618, Q3 : 9.52990594669e-05, Q4 : -0.000559882784728}
2019-04-14 04:37:25.21: SIM {TimeUS : 44434719, Roll : 0.02, Pitch : 0.04, Yaw : 359.93, Alt : 31.6700000763, Lat : 49.2835702, Lng : -123.1150205, Q1 : 0.999999761581, Q2 : 0.000209218880627, Q3 : 0.000413045490859, Q4 : -0.000582998385653}
2019-04-14 04:37:25.31: SIM {TimeUS : 44534679, Roll : 0.07, Pitch : 0.03, Yaw : 359.93, Alt : 31.8400001526, Lat : 49.2835703, Lng : -123.1150205, Q1 : 0.999999582767, Q2 : 0.000624014413916, Q3 : 0.000315900193527, Q4 : -0.000596325146034}
2019-04-14 04:37:25.41: SIM {TimeUS : 44634639, Roll : 0.07, Pitch : 0.01, Yaw : 359.93, Alt : 32.0299987793, Lat : 49.2835703, Lng : -123.1150206, Q1 : 0.999999642372, Q2 : 0.000633350224234, Q3 : 0.000108303400339, Q4 : -0.000593749340624}
2019-04-14 04:37:25.51: SIM {TimeUS : 44734599, Roll : 0.06, Pitch : 0.0, Yaw : 359.93, Alt : 32.2099990845, Lat : 49.2835703, Lng : -123.1150207, Q1 : 0.999999701977, Q2 : 0.000534142774995, Q3 : -1.31977976707e-05, Q4 : -0.000577404978685}
2019-04-14 04:37:25.61: SIM {TimeUS : 44834559, Roll : 0.05, Pitch : 0.0, Yaw : 359.93, Alt : 32.4099998474, Lat : 49.2835703, Lng : -123.1150207, Q1 : 0.999999701977, Q2 : 0.000470931263408, Q3 : -2.53961916314e-05, Q4 : -0.0005514920922}
2019-04-14 04:37:25.71: SIM {TimeUS : 44934519, Roll : 0.06, Pitch : 0.01, Yaw : 359.93, Alt : 32.5999984741, Lat : 49.2835703, Lng : -123.1150208, Q1 : 0.999999701977, Q2 : 0.000551891222131, Q3 : 0.000114361355372, Q4 : -0.00052830047207}
