2019-09-29 18:12:56.60: SIM {TimeUS : 40028982, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:56.69: SIM {TimeUS : 40128942, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:56.79: SIM {TimeUS : 40228902, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:56.89: SIM {TimeUS : 40328862, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:56.99: SIM {TimeUS : 40428822, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:57.09: SIM {TimeUS : 40528782, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:57.19: SIM {TimeUS : 40628742, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:57.29: SIM {TimeUS : 40728702, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:57.39: SIM {TimeUS : 40828662, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:57.49: SIM {TimeUS : 40928622, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:57.59: SIM {TimeUS : 41028582, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:57.69: SIM {TimeUS : 41128542, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:57.79: SIM {TimeUS : 41228502, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:57.89: SIM {TimeUS : 41328462, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:57.99: SIM {TimeUS : 41428422, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:58.09: SIM {TimeUS : 41528382, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:58.19: SIM {TimeUS : 41628342, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:58.29: SIM {TimeUS : 41728302, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:58.39: SIM {TimeUS : 41828262, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:58.49: SIM {TimeUS : 41928222, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:58.59: SIM {TimeUS : 42028182, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:58.69: SIM {TimeUS : 42128975, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:58.79: SIM {TimeUS : 42228935, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:58.89: SIM {TimeUS : 42328895, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:58.99: SIM {TimeUS : 42428855, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:59.09: SIM {TimeUS : 42528815, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:59.19: SIM {TimeUS : 42628775, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:59.29: SIM {TimeUS : 42728735, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:59.39: SIM {TimeUS : 42828695, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.1100006104, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:59.49: SIM {TimeUS : 42928655, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.1500015259, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:59.59: SIM {TimeUS : 43028615, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.1999969482, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:12:59.69: SIM {TimeUS : 43128575, Roll : -0.08, Pitch : -0.07, Yaw : 170.0, Alt : 87.2600021362, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0871461257339, Q2 : 0.000626083987299, Q3 : -0.000815915234853, Q4 : 0.996195018291}
2019-09-29 18:12:59.79: SIM {TimeUS : 43228535, Roll : -0.32, Pitch : -0.29, Yaw : 170.0, Alt : 87.3700027466, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0871063917875, Q2 : 0.00235082977451, Q3 : -0.00305665889755, Q4 : 0.996191561222}
2019-09-29 18:12:59.89: SIM {TimeUS : 43328495, Roll : -0.55, Pitch : -0.49, Yaw : 170.01, Alt : 87.5299987793, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0870385542512, Q2 : 0.00391561724246, Q3 : -0.00524021219462, Q4 : 0.996183514595}
2019-09-29 18:12:59.99: SIM {TimeUS : 43428455, Roll : -0.71, Pitch : -0.59, Yaw : 170.02, Alt : 87.7099990845, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0869481414557, Q2 : 0.00466580316424, Q3 : -0.006690710783, Q4 : 0.996179461479}
2019-09-29 18:13:00.09: SIM {TimeUS : 43528415, Roll : -0.73, Pitch : -0.58, Yaw : 170.03, Alt : 87.9000015259, Lat : 69.7758389, Lng : 19.5489291, Q1 : 0.0868500992656, Q2 : 0.00452627567574, Q3 : -0.00684889452532, Q4 : 0.996187567711}
2019-09-29 18:13:00.19: SIM {TimeUS : 43628375, Roll : -0.61, Pitch : -0.47, Yaw : 170.04, Alt : 88.0800018311, Lat : 69.7758389, Lng : 19.5489292, Q1 : 0.086752474308, Q2 : 0.00365693867207, Q3 : -0.00572409294546, Q4 : 0.996206760406}
2019-09-29 18:13:00.29: SIM {TimeUS : 43728335, Roll : -0.39, Pitch : -0.3, Yaw : 170.05, Alt : 88.2600021362, Lat : 69.7758389, Lng : 19.5489294, Q1 : 0.0866612941027, Q2 : 0.00231588329189, Q3 : -0.00368061312474, Q4 : 0.996228337288}
2019-09-29 18:13:00.39: SIM {TimeUS : 43828295, Roll : -0.15, Pitch : -0.14, Yaw : 170.06, Alt : 88.4499969482, Lat : 69.7758389, Lng : 19.5489295, Q1 : 0.086584225297, Q2 : 0.00111989502329, Q3 : -0.00146653747652, Q4 : 0.996242880821}
2019-09-29 18:13:00.49: SIM {TimeUS : 43928255, Roll : 0.03, Pitch : -0.01, Yaw : 170.07, Alt : 88.6399993896, Lat : 69.7758389, Lng : 19.5489297, Q1 : 0.0865265578032, Q2 : 0.00019411034009, Q3 : 0.000295331847155, Q4 : 0.996249496937}
2019-09-29 18:13:00.59: SIM {TimeUS : 44028215, Roll : 0.14, Pitch : 0.05, Yaw : 170.07, Alt : 88.8300018311, Lat : 69.7758388, Lng : 19.5489298, Q1 : 0.0864888057113, Q2 : -0.000400607095798, Q3 : 0.00127347931266, Q4 : 0.996251940727}
2019-09-29 18:13:00.69: SIM {TimeUS : 44128175, Roll : 0.16, Pitch : 0.1, Yaw : 170.07, Alt : 89.0299987793, Lat : 69.7758388, Lng : 19.54893, Q1 : 0.0864725857973, Q2 : -0.000767473073211, Q3 : 0.00146890548058, Q4 : 0.996252834797}
2019-09-29 18:13:00.79: SIM {TimeUS : 44228968, Roll : 0.12, Pitch : 0.1, Yaw : 170.07, Alt : 89.2300033569, Lat : 69.7758388, Lng : 19.5489301, Q1 : 0.0864632949233, Q2 : -0.000823454989586, Q3 : 0.0011542304419, Q4 : 0.996254086494}
2019-09-29 18:13:00.89: SIM {TimeUS : 44328928, Roll : 0.07, Pitch : 0.09, Yaw : 170.07, Alt : 89.4400024414, Lat : 69.7758388, Lng : 19.5489301, Q1 : 0.0864743441343, Q2 : -0.000749645521864, Q3 : 0.000697733194102, Q4 : 0.996253550053}
2019-09-29 18:13:00.99: SIM {TimeUS : 44428888, Roll : 0.02, Pitch : 0.05, Yaw : 170.07, Alt : 89.6399993896, Lat : 69.7758387, Lng : 19.5489303, Q1 : 0.086508244276, Q2 : -0.000486486271257, Q3 : 0.000281668326352, Q4 : 0.996250987053}
2019-09-29 18:13:01.09: SIM {TimeUS : 44528848, Roll : 0.0, Pitch : 0.02, Yaw : 170.06, Alt : 89.8499984741, Lat : 69.7758387, Lng : 19.5489304, Q1 : 0.0865486189723, Q2 : -0.000233171507716, Q3 : -2.47518369179e-06, Q4 : 0.996247589588}
2019-09-29 18:13:01.19: SIM {TimeUS : 44628808, Roll : 0.0, Pitch : 0.02, Yaw : 170.06, Alt : 90.0500030518, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.0865867137909, Q2 : -0.000254948739894, Q3 : -4.38413444499e-05, Q4 : 0.996244311333}
2019-09-29 18:13:01.29: SIM {TimeUS : 44728768, Roll : 0.0, Pitch : 0.04, Yaw : 170.06, Alt : 90.2600021362, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.0866137519479, Q2 : -0.000406189501518, Q3 : 9.66697261902e-05, Q4 : 0.996241867542}
2019-09-29 18:13:01.39: SIM {TimeUS : 44828728, Roll : 0.02, Pitch : 0.04, Yaw : 170.06, Alt : 90.4700012207, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.0866261422634, Q2 : -0.000407465267926, Q3 : 0.00028218262014, Q4 : 0.996240735054}
2019-09-29 18:13:01.49: SIM {TimeUS : 44928688, Roll : 0.05, Pitch : 0.04, Yaw : 170.06, Alt : 90.6800003052, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.0866286382079, Q2 : -0.000355534604751, Q3 : 0.000491938029882, Q4 : 0.996240496635}
2019-09-29 18:13:01.59: SIM {TimeUS : 45028648, Roll : 0.08, Pitch : 0.04, Yaw : 170.06, Alt : 90.8899993896, Lat : 69.7758387, Lng : 19.5489307, Q1 : 0.0866170600057, Q2 : -0.000345231383108, Q3 : 0.000733351975214, Q4 : 0.9962413311}
2019-09-29 18:13:01.69: SIM {TimeUS : 45128608, Roll : 0.12, Pitch : 0.04, Yaw : 170.06, Alt : 91.1100006104, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.0865977108479, Q2 : -0.000281398883089, Q3 : 0.00107679166831, Q4 : 0.996242761612}
2019-09-29 18:13:01.79: SIM {TimeUS : 45228568, Roll : 0.14, Pitch : 0.03, Yaw : 170.06, Alt : 91.3199996948, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.0865726619959, Q2 : -0.000200079070055, Q3 : 0.00130633590743, Q4 : 0.996244668961}
2019-09-29 18:13:01.89: SIM {TimeUS : 45328528, Roll : 0.16, Pitch : 0.04, Yaw : 170.06, Alt : 91.5400009155, Lat : 69.7758386, Lng : 19.5489308, Q1 : 0.0865520760417, Q2 : -0.000229134180699, Q3 : 0.00144250004087, Q4 : 0.996246218681}
2019-09-29 18:13:01.99: SIM {TimeUS : 45428488, Roll : 0.18, Pitch : 0.07, Yaw : 170.07, Alt : 91.75, Lat : 69.7758386, Lng : 19.5489308, Q1 : 0.0865451470017, Q2 : -0.000482214440126, Q3 : 0.00166415399872, Q4 : 0.9962464571}
2019-09-29 18:13:02.09: SIM {TimeUS : 45528448, Roll : 0.18, Pitch : 0.1, Yaw : 170.06, Alt : 91.9700012207, Lat : 69.7758386, Lng : 19.5489308, Q1 : 0.0865505933762, Q2 : -0.000807900680229, Q3 : 0.00168390898034, Q4 : 0.996245741844}
2019-09-29 18:13:02.19: SIM {TimeUS : 45628408, Roll : 0.15, Pitch : 0.13, Yaw : 170.06, Alt : 92.1900024414, Lat : 69.7758386, Lng : 19.5489308, Q1 : 0.0865673720837, Q2 : -0.00103359227069, Q3 : 0.00146258238237, Q4 : 0.996244430542}
2019-09-29 18:13:02.29: SIM {TimeUS : 45728368, Roll : 0.1, Pitch : 0.1, Yaw : 170.06, Alt : 92.4100036621, Lat : 69.7758386, Lng : 19.5489308, Q1 : 0.0865875482559, Q2 : -0.000872825272381, Q3 : 0.00101476546843, Q4 : 0.996243357658}
2019-09-29 18:13:02.39: SIM {TimeUS : 45828328, Roll : 0.05, Pitch : 0.05, Yaw : 170.06, Alt : 92.6299972534, Lat : 69.7758386, Lng : 19.5489308, Q1 : 0.0865952968597, Q2 : -0.00046766383457, Q3 : 0.000484067044454, Q4 : 0.996243357658}
2019-09-29 18:13:02.49: SIM {TimeUS : 45928288, Roll : 0.02, Pitch : 0.0, Yaw : 170.06, Alt : 92.8499984741, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.086594954133, Q2 : 2.45242972596e-05, Q3 : 0.000181357652764, Q4 : 0.996243655682}
2019-09-29 18:13:02.59: SIM {TimeUS : 46028248, Roll : 0.0, Pitch : -0.05, Yaw : 170.06, Alt : 93.0699996948, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.0865879654884, Q2 : 0.000510899582878, Q3 : -4.6126817324e-05, Q4 : 0.996244132519}
2019-09-29 18:13:02.69: SIM {TimeUS : 46128208, Roll : 0.0, Pitch : -0.08, Yaw : 170.06, Alt : 93.2900009155, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.0865806341171, Q2 : 0.000744495133404, Q3 : -7.9149249359e-05, Q4 : 0.996244609356}
2019-09-29 18:13:02.79: SIM {TimeUS : 46228168, Roll : 0.02, Pitch : -0.06, Yaw : 170.06, Alt : 93.5100021362, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.0865676999092, Q2 : 0.000568367308006, Q3 : 0.000172981366632, Q4 : 0.996245801449}
2019-09-29 18:13:02.89: SIM {TimeUS : 46328961, Roll : 0.04, Pitch : -0.03, Yaw : 170.06, Alt : 93.7399978638, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.0865593105555, Q2 : 0.000310288334731, Q3 : 0.000328030058881, Q4 : 0.996246635914}
2019-09-29 18:13:02.99: SIM {TimeUS : 46428921, Roll : 0.02, Pitch : -0.01, Yaw : 170.06, Alt : 93.9700012207, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.0865719169378, Q2 : 0.000172589672729, Q3 : 0.000163857082953, Q4 : 0.996245622635}
2019-09-29 18:13:03.09: SIM {TimeUS : 46528881, Roll : 0.0, Pitch : -0.03, Yaw : 170.06, Alt : 94.1900024414, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.086592361331, Q2 : 0.000272735429462, Q3 : -0.000101380974229, Q4 : 0.996243774891}
2019-09-29 18:13:03.19: SIM {TimeUS : 46628841, Roll : -0.01, Pitch : -0.06, Yaw : 170.06, Alt : 94.4199981689, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.0866063609719, Q2 : 0.000513240869623, Q3 : -0.000177935915417, Q4 : 0.996242523193}
2019-09-29 18:13:03.29: SIM {TimeUS : 46728801, Roll : 0.01, Pitch : -0.09, Yaw : 170.06, Alt : 94.6399993896, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.0866082832217, Q2 : 0.0008524240111, Q3 : 4.79433510918e-05, Q4 : 0.996242105961}
2019-09-29 18:13:03.39: SIM {TimeUS : 46828761, Roll : 0.02, Pitch : -0.12, Yaw : 170.06, Alt : 94.8700027466, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.0866193398833, Q2 : 0.00111848500092, Q3 : 0.000129357416881, Q4 : 0.996240854263}
2019-09-29 18:13:03.49: SIM {TimeUS : 46928721, Roll : 0.0, Pitch : -0.12, Yaw : 170.05, Alt : 95.0999984741, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.0866370201111, Q2 : 0.00108838849701, Q3 : -0.000112190224172, Q4 : 0.996239364147}
2019-09-29 18:13:03.59: SIM {TimeUS : 47028681, Roll : -0.02, Pitch : -0.09, Yaw : 170.05, Alt : 95.3300018311, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.0866495445371, Q2 : 0.000788576493505, Q3 : -0.000295311590889, Q4 : 0.996238470078}
2019-09-29 18:13:03.69: SIM {TimeUS : 47128641, Roll : -0.03, Pitch : -0.05, Yaw : 170.05, Alt : 95.5599975586, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.0866595059633, Q2 : 0.000450502033345, Q3 : -0.000362038379535, Q4 : 0.996237814426}
2019-09-29 18:13:03.79: SIM {TimeUS : 47228601, Roll : -0.03, Pitch : -0.02, Yaw : 170.05, Alt : 95.7900009155, Lat : 69.7758386, Lng : 19.5489307, Q1 : 0.0866634920239, Q2 : 0.000161952266353, Q3 : -0.000351004535332, Q4 : 0.996237576008}
