2019-09-29 18:25:21.30: SIM {TimeUS : 40728702, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:21.40: SIM {TimeUS : 40828662, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:21.49: SIM {TimeUS : 40928622, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:21.59: SIM {TimeUS : 41028582, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:21.69: SIM {TimeUS : 41128542, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:21.79: SIM {TimeUS : 41228502, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:21.89: SIM {TimeUS : 41328462, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:21.99: SIM {TimeUS : 41428422, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:22.09: SIM {TimeUS : 41528382, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:22.19: SIM {TimeUS : 41628342, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:22.29: SIM {TimeUS : 41728302, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:22.39: SIM {TimeUS : 41828262, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:22.49: SIM {TimeUS : 41928222, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:22.59: SIM {TimeUS : 42028182, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:22.70: SIM {TimeUS : 42128975, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:22.80: SIM {TimeUS : 42228935, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:22.90: SIM {TimeUS : 42328895, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:23.00: SIM {TimeUS : 42428855, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:23.10: SIM {TimeUS : 42528815, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:23.20: SIM {TimeUS : 42628775, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:23.30: SIM {TimeUS : 42728735, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:23.40: SIM {TimeUS : 42828695, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:23.49: SIM {TimeUS : 42928655, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:23.59: SIM {TimeUS : 43028615, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:23.69: SIM {TimeUS : 43128575, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:23.79: SIM {TimeUS : 43228535, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:23.89: SIM {TimeUS : 43328495, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:23.99: SIM {TimeUS : 43428455, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:24.09: SIM {TimeUS : 43528415, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.1100006104, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:24.19: SIM {TimeUS : 43628375, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.1500015259, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:24.29: SIM {TimeUS : 43728335, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.1999969482, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:25:24.39: SIM {TimeUS : 43828295, Roll : -0.08, Pitch : -0.08, Yaw : 170.0, Alt : 87.2600021362, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0871498808265, Q2 : 0.000711640226655, Q3 : -0.000834787031636, Q4 : 0.996194660664}
2019-09-29 18:25:24.49: SIM {TimeUS : 43928255, Roll : -0.32, Pitch : -0.32, Yaw : 170.0, Alt : 87.3700027466, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0871191322803, Q2 : 0.00255924114026, Q3 : -0.00302818394266, Q4 : 0.996190011501}
2019-09-29 18:25:24.59: SIM {TimeUS : 44028215, Roll : -0.53, Pitch : -0.53, Yaw : 170.01, Alt : 87.5299987793, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0870644599199, Q2 : 0.00426692888141, Q3 : -0.00508992746472, Q4 : 0.996180593967}
2019-09-29 18:25:24.69: SIM {TimeUS : 44128175, Roll : -0.65, Pitch : -0.62, Yaw : 170.02, Alt : 87.7200012207, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.086991854012, Q2 : 0.00493106199428, Q3 : -0.0061279386282, Q4 : 0.996177971363}
2019-09-29 18:25:24.80: SIM {TimeUS : 44228968, Roll : -0.63, Pitch : -0.58, Yaw : 170.03, Alt : 87.9000015259, Lat : 69.7758389, Lng : 19.5489291, Q1 : 0.0869049727917, Q2 : 0.00457154214382, Q3 : -0.00595260737464, Q4 : 0.996188342571}
2019-09-29 18:25:24.90: SIM {TimeUS : 44328928, Roll : -0.5, Pitch : -0.44, Yaw : 170.04, Alt : 88.0899963379, Lat : 69.7758389, Lng : 19.5489292, Q1 : 0.0868140384555, Q2 : 0.00344635662623, Q3 : -0.00471494579688, Q4 : 0.996207416058}
2019-09-29 18:25:25.00: SIM {TimeUS : 44428888, Roll : -0.31, Pitch : -0.27, Yaw : 170.04, Alt : 88.2699966431, Lat : 69.7758389, Lng : 19.5489294, Q1 : 0.0867270305753, Q2 : 0.00210855877958, Q3 : -0.00297188409604, Q4 : 0.996225476265}
2019-09-29 18:25:25.10: SIM {TimeUS : 44528848, Roll : -0.13, Pitch : -0.11, Yaw : 170.05, Alt : 88.4499969482, Lat : 69.7758389, Lng : 19.5489295, Q1 : 0.0866523683071, Q2 : 0.000878976308741, Q3 : -0.00129207840655, Q4 : 0.996237397194}
2019-09-29 18:25:25.20: SIM {TimeUS : 44628808, Roll : -0.01, Pitch : 0.0, Yaw : 170.06, Alt : 88.6399993896, Lat : 69.7758389, Lng : 19.5489297, Q1 : 0.0865918248892, Q2 : -8.2297839981e-05, Q3 : -0.000162273150636, Q4 : 0.9962438941}
2019-09-29 18:25:25.30: SIM {TimeUS : 44728768, Roll : 0.02, Pitch : 0.06, Yaw : 170.06, Alt : 88.8399963379, Lat : 69.7758389, Lng : 19.5489298, Q1 : 0.0865506604314, Q2 : -0.000557787134312, Q3 : 0.000255892402492, Q4 : 0.99624723196}
2019-09-29 18:25:25.40: SIM {TimeUS : 44828728, Roll : 0.0, Pitch : 0.05, Yaw : 170.07, Alt : 89.0400009155, Lat : 69.7758388, Lng : 19.5489298, Q1 : 0.0865294337273, Q2 : -0.000466150697321, Q3 : 0.000110657158075, Q4 : 0.996249198914}
2019-09-29 18:25:25.50: SIM {TimeUS : 44928688, Roll : -0.01, Pitch : 0.01, Yaw : 170.07, Alt : 89.2399978638, Lat : 69.7758388, Lng : 19.54893, Q1 : 0.0865238904953, Q2 : -0.000137607494253, Q3 : -0.00016290237545, Q4 : 0.99624979496}
2019-09-29 18:25:25.59: SIM {TimeUS : 45028648, Roll : -0.03, Pitch : -0.02, Yaw : 170.07, Alt : 89.4400024414, Lat : 69.7758388, Lng : 19.5489301, Q1 : 0.0865267664194, Q2 : 0.000160475552548, Q3 : -0.000285412417725, Q4 : 0.996249496937}
2019-09-29 18:25:25.69: SIM {TimeUS : 45128608, Roll : 0.0, Pitch : -0.03, Yaw : 170.07, Alt : 89.6500015259, Lat : 69.7758388, Lng : 19.5489301, Q1 : 0.0865449681878, Q2 : 0.000333877105732, Q3 : -5.08575321874e-05, Q4 : 0.996247887611}
2019-09-29 18:25:25.79: SIM {TimeUS : 45228568, Roll : 0.04, Pitch : -0.04, Yaw : 170.06, Alt : 89.8499984741, Lat : 69.7758387, Lng : 19.5489303, Q1 : 0.0865695476532, Q2 : 0.000409883796237, Q3 : 0.000333128758939, Q4 : 0.99624568224}
2019-09-29 18:25:25.89: SIM {TimeUS : 45328528, Roll : 0.11, Pitch : 0.0, Yaw : 170.06, Alt : 90.0599975586, Lat : 69.7758387, Lng : 19.5489304, Q1 : 0.0865997821093, Q2 : 9.54778515734e-05, Q3 : 0.00100541929714, Q4 : 0.996242702007}
2019-09-29 18:25:25.99: SIM {TimeUS : 45428488, Roll : 0.2, Pitch : 0.08, Yaw : 170.05, Alt : 90.2699966431, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.0866427794099, Q2 : -0.00057849829318, Q3 : 0.00183066155296, Q4 : 0.996237576008}
2019-09-29 18:25:26.09: SIM {TimeUS : 45528448, Roll : 0.25, Pitch : 0.15, Yaw : 170.05, Alt : 90.4800033569, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.0866864398122, Q2 : -0.00119026645552, Q3 : 0.00236104195938, Q4 : 0.996232151985}
2019-09-29 18:25:26.19: SIM {TimeUS : 45628408, Roll : 0.25, Pitch : 0.2, Yaw : 170.04, Alt : 90.6900024414, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.0867273062468, Q2 : -0.00157962413505, Q3 : 0.00234339339659, Q4 : 0.996228098869}
2019-09-29 18:25:26.29: SIM {TimeUS : 45728368, Roll : 0.2, Pitch : 0.2, Yaw : 170.04, Alt : 90.9000015259, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.0867658853531, Q2 : -0.00161518738605, Q3 : 0.00192513281945, Q4 : 0.99622553587}
2019-09-29 18:25:26.39: SIM {TimeUS : 45828328, Roll : 0.14, Pitch : 0.16, Yaw : 170.04, Alt : 91.1100006104, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0868005603552, Q2 : -0.00135803944431, Q3 : 0.00134636391886, Q4 : 0.99622386694}
2019-09-29 18:25:26.49: SIM {TimeUS : 45928288, Roll : 0.1, Pitch : 0.1, Yaw : 170.03, Alt : 91.3300018311, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0868235453963, Q2 : -0.000861892069224, Q3 : 0.000957646232564, Q4 : 0.996222853661}
2019-09-29 18:25:26.59: SIM {TimeUS : 46028248, Roll : 0.07, Pitch : 0.03, Yaw : 170.03, Alt : 91.5500030518, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0868198275566, Q2 : -0.00021887118055, Q3 : 0.000637379998807, Q4 : 0.996223807335}
2019-09-29 18:25:26.69: SIM {TimeUS : 46128208, Roll : 0.06, Pitch : -0.02, Yaw : 170.04, Alt : 91.7600021362, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0868015363812, Q2 : 0.000226726726396, Q3 : 0.000564149115235, Q4 : 0.99622541666}
2019-09-29 18:25:26.79: SIM {TimeUS : 46228168, Roll : 0.08, Pitch : -0.02, Yaw : 170.04, Alt : 91.9800033569, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.086761072278, Q2 : 0.000270394433755, Q3 : 0.000711155764293, Q4 : 0.99622887373}
2019-09-29 18:25:26.90: SIM {TimeUS : 46328961, Roll : 0.09, Pitch : -0.01, Yaw : 170.05, Alt : 92.1999969482, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0867091715336, Q2 : 0.000211590508115, Q3 : 0.000804125680588, Q4 : 0.996233284473}
