2019-09-29 17:07:58.40: SIM {TimeUS : 40628742, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:07:58.49: SIM {TimeUS : 40728702, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:07:58.59: SIM {TimeUS : 40828662, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:07:58.69: SIM {TimeUS : 40928622, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:07:58.79: SIM {TimeUS : 41028582, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:07:58.89: SIM {TimeUS : 41128542, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:07:58.99: SIM {TimeUS : 41228502, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:07:59.09: SIM {TimeUS : 41328462, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:07:59.19: SIM {TimeUS : 41428422, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:07:59.29: SIM {TimeUS : 41528382, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:07:59.39: SIM {TimeUS : 41628342, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:07:59.49: SIM {TimeUS : 41728302, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:07:59.59: SIM {TimeUS : 41828262, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:07:59.69: SIM {TimeUS : 41928222, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:07:59.79: SIM {TimeUS : 42028182, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:07:59.90: SIM {TimeUS : 42128975, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:00.00: SIM {TimeUS : 42228935, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:00.10: SIM {TimeUS : 42328895, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:00.20: SIM {TimeUS : 42428855, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:00.30: SIM {TimeUS : 42528815, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:00.40: SIM {TimeUS : 42628775, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:00.49: SIM {TimeUS : 42728735, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:00.59: SIM {TimeUS : 42828695, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:00.69: SIM {TimeUS : 42928655, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:00.79: SIM {TimeUS : 43028615, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:00.89: SIM {TimeUS : 43128575, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:00.99: SIM {TimeUS : 43228535, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:01.09: SIM {TimeUS : 43328495, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:01.19: SIM {TimeUS : 43428455, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.1100006104, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:01.29: SIM {TimeUS : 43528415, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.1500015259, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:01.39: SIM {TimeUS : 43628375, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.1999969482, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 17:08:01.49: SIM {TimeUS : 43728335, Roll : -0.1, Pitch : -0.1, Yaw : 170.0, Alt : 87.2699966431, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0871441066265, Q2 : 0.000860981352162, Q3 : -0.00101045193151, Q4 : 0.996194839478}
2019-09-29 17:08:01.59: SIM {TimeUS : 43828295, Roll : -0.36, Pitch : -0.38, Yaw : 170.0, Alt : 87.3899993896, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0871014669538, Q2 : 0.0030456460081, Q3 : -0.00345250731334, Q4 : 0.996188819408}
2019-09-29 17:08:01.69: SIM {TimeUS : 43928255, Roll : -0.59, Pitch : -0.62, Yaw : 170.01, Alt : 87.5500030518, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0870367139578, Q2 : 0.00494429282844, Q3 : -0.00565795693547, Q4 : 0.99617677927}
2019-09-29 17:08:01.79: SIM {TimeUS : 44028215, Roll : -0.69, Pitch : -0.7, Yaw : 170.02, Alt : 87.7399978638, Lat : 69.7758389, Lng : 19.5489291, Q1 : 0.0869546979666, Q2 : 0.00564300222322, Q3 : -0.00657606497407, Q4 : 0.996174573898}
2019-09-29 17:08:01.89: SIM {TimeUS : 44128175, Roll : -0.64, Pitch : -0.62, Yaw : 170.03, Alt : 87.9300003052, Lat : 69.7758389, Lng : 19.5489292, Q1 : 0.0868666395545, Q2 : 0.0049813860096, Q3 : -0.006109084934, Q4 : 0.996188759804}
2019-09-29 17:08:02.00: SIM {TimeUS : 44228968, Roll : -0.5, Pitch : -0.44, Yaw : 170.04, Alt : 88.1200027466, Lat : 69.7758389, Lng : 19.5489292, Q1 : 0.086775533855, Q2 : 0.00348154315725, Q3 : -0.00468776375055, Q4 : 0.996210813522}
2019-09-29 17:08:02.10: SIM {TimeUS : 44328928, Roll : -0.3, Pitch : -0.22, Yaw : 170.05, Alt : 88.3000030518, Lat : 69.7758389, Lng : 19.5489294, Q1 : 0.0866896733642, Q2 : 0.00170303403866, Q3 : -0.0027996210847, Q4 : 0.996230006218}
2019-09-29 17:08:02.20: SIM {TimeUS : 44428888, Roll : -0.11, Pitch : -0.04, Yaw : 170.06, Alt : 88.4899978638, Lat : 69.7758389, Lng : 19.5489295, Q1 : 0.0866124555469, Q2 : 0.000320711173117, Q3 : -0.00104270176962, Q4 : 0.99624145031}
2019-09-29 17:08:02.30: SIM {TimeUS : 44528848, Roll : 0.01, Pitch : 0.05, Yaw : 170.06, Alt : 88.6900024414, Lat : 69.7758389, Lng : 19.5489297, Q1 : 0.0865526646376, Q2 : -0.000448868784588, Q3 : 0.000181844574399, Q4 : 0.996247172356}
2019-09-29 17:08:02.40: SIM {TimeUS : 44628808, Roll : 0.06, Pitch : 0.08, Yaw : 170.07, Alt : 88.8899993896, Lat : 69.7758388, Lng : 19.5489298, Q1 : 0.0865141898394, Q2 : -0.000721875054296, Q3 : 0.000639319303446, Q4 : 0.996250152588}
2019-09-29 17:08:02.50: SIM {TimeUS : 44728768, Roll : 0.04, Pitch : 0.07, Yaw : 170.07, Alt : 89.0899963379, Lat : 69.7758388, Lng : 19.54893, Q1 : 0.0864936038852, Q2 : -0.000586507376283, Q3 : 0.000450633029686, Q4 : 0.996252119541}
2019-09-29 17:08:02.59: SIM {TimeUS : 44828728, Roll : 0.0, Pitch : 0.01, Yaw : 170.07, Alt : 89.3000030518, Lat : 69.7758388, Lng : 19.5489301, Q1 : 0.0864826217294, Q2 : -0.000173660897417, Q3 : -3.97433796024e-05, Q4 : 0.996253371239}
2019-09-29 17:08:02.69: SIM {TimeUS : 44928688, Roll : -0.04, Pitch : -0.03, Yaw : 170.07, Alt : 89.5, Lat : 69.7758388, Lng : 19.5489301, Q1 : 0.086486235261, Q2 : 0.000246408570092, Q3 : -0.000380947371013, Q4 : 0.996252954006}
2019-09-29 17:08:02.79: SIM {TimeUS : 45028648, Roll : -0.03, Pitch : -0.04, Yaw : 170.07, Alt : 89.7099990845, Lat : 69.7758388, Lng : 19.5489303, Q1 : 0.0864999219775, Q2 : 0.000404000107665, Q3 : -0.000360911973985, Q4 : 0.996251702309}
