2019-09-29 18:20:11.20: SIM {TimeUS : 40828662, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:11.29: SIM {TimeUS : 40928622, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:11.39: SIM {TimeUS : 41028582, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:11.49: SIM {TimeUS : 41128542, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:11.59: SIM {TimeUS : 41228502, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:11.69: SIM {TimeUS : 41328462, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:11.79: SIM {TimeUS : 41428422, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:11.89: SIM {TimeUS : 41528382, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:11.99: SIM {TimeUS : 41628342, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:12.09: SIM {TimeUS : 41728302, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:12.19: SIM {TimeUS : 41828262, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:12.29: SIM {TimeUS : 41928222, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:12.39: SIM {TimeUS : 42028182, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:12.50: SIM {TimeUS : 42128975, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:12.60: SIM {TimeUS : 42228935, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:12.70: SIM {TimeUS : 42328895, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:12.80: SIM {TimeUS : 42428855, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:12.90: SIM {TimeUS : 42528815, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:13.00: SIM {TimeUS : 42628775, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:13.10: SIM {TimeUS : 42728735, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:13.20: SIM {TimeUS : 42828695, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:13.29: SIM {TimeUS : 42928655, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:13.39: SIM {TimeUS : 43028615, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:13.49: SIM {TimeUS : 43128575, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:13.59: SIM {TimeUS : 43228535, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:13.69: SIM {TimeUS : 43328495, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:13.79: SIM {TimeUS : 43428455, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:13.89: SIM {TimeUS : 43528415, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.0999984741, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:13.99: SIM {TimeUS : 43628375, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.1100006104, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:14.09: SIM {TimeUS : 43728335, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.1500015259, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:14.19: SIM {TimeUS : 43828295, Roll : 0.0, Pitch : 0.0, Yaw : 169.99, Alt : 87.1999969482, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.087155804038, Q2 : 0.0, Q3 : 0.0, Q4 : 0.996194720268}
2019-09-29 18:20:14.29: SIM {TimeUS : 43928255, Roll : -0.09, Pitch : -0.09, Yaw : 170.0, Alt : 87.2600021362, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0871467068791, Q2 : 0.000762152601965, Q3 : -0.000872337666806, Q4 : 0.996194839478}
2019-09-29 18:20:14.39: SIM {TimeUS : 44028215, Roll : -0.32, Pitch : -0.3, Yaw : 170.0, Alt : 87.3799972534, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0871126800776, Q2 : 0.00242795282975, Q3 : -0.00303426990286, Q4 : 0.996190905571}
2019-09-29 18:20:14.49: SIM {TimeUS : 44128175, Roll : -0.55, Pitch : -0.47, Yaw : 170.01, Alt : 87.5500030518, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0870548263192, Q2 : 0.00373242632486, Q3 : -0.00514493044466, Q4 : 0.996183276176}
2019-09-29 18:20:14.60: SIM {TimeUS : 44228968, Roll : -0.67, Pitch : -0.55, Yaw : 170.02, Alt : 87.7399978638, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0869773104787, Q2 : 0.00428670085967, Q3 : -0.00625146878883, Q4 : 0.996181488037}
2019-09-29 18:20:14.70: SIM {TimeUS : 44328928, Roll : -0.64, Pitch : -0.51, Yaw : 170.03, Alt : 87.9199981689, Lat : 69.7758389, Lng : 19.5489291, Q1 : 0.0868872627616, Q2 : 0.00401394255459, Q3 : -0.00598608609289, Q4 : 0.996192097664}
2019-09-29 18:20:14.80: SIM {TimeUS : 44428888, Roll : -0.5, Pitch : -0.41, Yaw : 170.04, Alt : 88.1100006104, Lat : 69.7758389, Lng : 19.5489292, Q1 : 0.0867945477366, Q2 : 0.00325452093966, Q3 : -0.00469485251233, Q4 : 0.996209859848}
2019-09-29 18:20:14.90: SIM {TimeUS : 44528848, Roll : -0.31, Pitch : -0.27, Yaw : 170.05, Alt : 88.2900009155, Lat : 69.7758389, Lng : 19.5489294, Q1 : 0.0867095440626, Q2 : 0.00215928256512, Q3 : -0.00291411578655, Q4 : 0.99622708559}
2019-09-29 18:20:15.00: SIM {TimeUS : 44628808, Roll : -0.13, Pitch : -0.11, Yaw : 170.05, Alt : 88.4800033569, Lat : 69.7758389, Lng : 19.5489295, Q1 : 0.0866387337446, Q2 : 0.000935392279644, Q3 : -0.00130590272602, Q4 : 0.996238529682}
2019-09-29 18:20:15.10: SIM {TimeUS : 44728768, Roll : -0.03, Pitch : 0.0, Yaw : 170.06, Alt : 88.6699981689, Lat : 69.7758389, Lng : 19.5489295, Q1 : 0.0865873247385, Q2 : 2.85820406134e-05, Q3 : -0.000302740954794, Q4 : 0.996244251728}
2019-09-29 18:20:15.20: SIM {TimeUS : 44828728, Roll : 0.0, Pitch : 0.03, Yaw : 170.06, Alt : 88.8700027466, Lat : 69.7758389, Lng : 19.5489298, Q1 : 0.086554504931, Q2 : -0.000320920924423, Q3 : 3.85878665838e-05, Q4 : 0.996247053146}
2019-09-29 18:20:15.30: SIM {TimeUS : 44928688, Roll : 0.0, Pitch : 0.03, Yaw : 170.07, Alt : 89.0699996948, Lat : 69.7758388, Lng : 19.5489298, Q1 : 0.0865409821272, Q2 : -0.000285105081275, Q3 : -5.93295590079e-06, Q4 : 0.996248245239}
2019-09-29 18:20:15.39: SIM {TimeUS : 45028648, Roll : -0.01, Pitch : 0.01, Yaw : 170.07, Alt : 89.2799987793, Lat : 69.7758388, Lng : 19.54893, Q1 : 0.0865423604846, Q2 : -0.000119003845612, Q3 : -0.000147211176227, Q4 : 0.996248185635}
2019-09-29 18:20:15.49: SIM {TimeUS : 45128608, Roll : 0.0, Pitch : -0.01, Yaw : 170.06, Alt : 89.4800033569, Lat : 69.7758388, Lng : 19.5489301, Q1 : 0.0865551903844, Q2 : 0.000143525903695, Q3 : -3.81201680284e-05, Q4 : 0.996247053146}
2019-09-29 18:20:15.59: SIM {TimeUS : 45228568, Roll : 0.02, Pitch : -0.03, Yaw : 170.06, Alt : 89.6900024414, Lat : 69.7758388, Lng : 19.5489301, Q1 : 0.0865727961063, Q2 : 0.000335983699188, Q3 : 0.000219388035475, Q4 : 0.996245443821}
2019-09-29 18:20:15.69: SIM {TimeUS : 45328528, Roll : 0.09, Pitch : -0.01, Yaw : 170.06, Alt : 89.8899993896, Lat : 69.7758387, Lng : 19.5489303, Q1 : 0.0865887030959, Q2 : 0.000185503697139, Q3 : 0.00079117884161, Q4 : 0.996243834496}
2019-09-29 18:20:15.79: SIM {TimeUS : 45428488, Roll : 0.18, Pitch : 0.05, Yaw : 170.06, Alt : 90.0999984741, Lat : 69.7758387, Lng : 19.5489304, Q1 : 0.0866056680679, Q2 : -0.000327093759552, Q3 : 0.00161871314049, Q4 : 0.996241271496}
2019-09-29 18:20:15.89: SIM {TimeUS : 45528448, Roll : 0.23, Pitch : 0.12, Yaw : 170.06, Alt : 90.3099975586, Lat : 69.7758387, Lng : 19.5489304, Q1 : 0.0866246670485, Q2 : -0.00092483748449, Q3 : 0.00215988536365, Q4 : 0.996238231659}
2019-09-29 18:20:15.99: SIM {TimeUS : 45628408, Roll : 0.24, Pitch : 0.17, Yaw : 170.05, Alt : 90.5199966431, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.0866470783949, Q2 : -0.0013732459629, Q3 : 0.00222915131599, Q4 : 0.996235668659}
2019-09-29 18:20:16.09: SIM {TimeUS : 45728368, Roll : 0.21, Pitch : 0.18, Yaw : 170.05, Alt : 90.7399978638, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.0866743698716, Q2 : -0.00147067627404, Q3 : 0.0020044890698, Q4 : 0.996233582497}
2019-09-29 18:20:16.19: SIM {TimeUS : 45828328, Roll : 0.16, Pitch : 0.15, Yaw : 170.05, Alt : 90.9499969482, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.0866866409779, Q2 : -0.00123632699251, Q3 : 0.00155514467042, Q4 : 0.996233701706}
2019-09-29 18:20:16.29: SIM {TimeUS : 45928288, Roll : 0.11, Pitch : 0.09, Yaw : 170.05, Alt : 91.1600036621, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.086695715785, Q2 : -0.000755769491661, Q3 : 0.00108538835775, Q4 : 0.996233940125}
2019-09-29 18:20:16.39: SIM {TimeUS : 46028248, Roll : 0.07, Pitch : 0.02, Yaw : 170.05, Alt : 91.3799972534, Lat : 69.7758387, Lng : 19.5489305, Q1 : 0.0866959691048, Q2 : -0.000134676156449, Q3 : 0.000681967590936, Q4 : 0.996234595776}
2019-09-29 18:20:16.49: SIM {TimeUS : 46128208, Roll : 0.06, Pitch : -0.02, Yaw : 170.05, Alt : 91.5999984741, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0866920277476, Q2 : 0.000261061824858, Q3 : 0.000506879761815, Q4 : 0.996235013008}
2019-09-29 18:20:16.59: SIM {TimeUS : 46228168, Roll : 0.07, Pitch : -0.02, Yaw : 170.05, Alt : 91.8099975586, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0866787210107, Q2 : 0.000277489685686, Q3 : 0.000635996460915, Q4 : 0.996236085892}
2019-09-29 18:20:16.70: SIM {TimeUS : 46328961, Roll : 0.08, Pitch : -0.01, Yaw : 170.05, Alt : 92.0299987793, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0866577774286, Q2 : 0.000200220150873, Q3 : 0.00076402456034, Q4 : 0.996237814426}
2019-09-29 18:20:16.80: SIM {TimeUS : 46428921, Roll : 0.07, Pitch : -0.01, Yaw : 170.05, Alt : 92.25, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0866381675005, Q2 : 0.000204136886168, Q3 : 0.000610815768596, Q4 : 0.99623966217}
2019-09-29 18:20:16.90: SIM {TimeUS : 46528881, Roll : 0.03, Pitch : -0.03, Yaw : 170.06, Alt : 92.4700012207, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0866268947721, Q2 : 0.000347538414644, Q3 : 0.000319076731103, Q4 : 0.996240735054}
2019-09-29 18:20:17.00: SIM {TimeUS : 46628841, Roll : 0.03, Pitch : -0.06, Yaw : 170.06, Alt : 92.6900024414, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0866259485483, Q2 : 0.000577369472012, Q3 : 0.000241963847657, Q4 : 0.996240735054}
2019-09-29 18:20:17.10: SIM {TimeUS : 46728801, Roll : 0.04, Pitch : -0.09, Yaw : 170.06, Alt : 92.9100036621, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0866312757134, Q2 : 0.000856272468809, Q3 : 0.000300164450891, Q4 : 0.996240019798}
2019-09-29 18:20:17.20: SIM {TimeUS : 46828761, Roll : 0.03, Pitch : -0.11, Yaw : 170.06, Alt : 93.1399993896, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0866327062249, Q2 : 0.000993204885162, Q3 : 0.000205640608328, Q4 : 0.99623978138}
2019-09-29 18:20:17.30: SIM {TimeUS : 46928721, Roll : 0.01, Pitch : -0.11, Yaw : 170.06, Alt : 93.3600006104, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0866327136755, Q2 : 0.00102983764373, Q3 : 2.15684776776e-05, Q4 : 0.99623978138}
2019-09-29 18:20:17.40: SIM {TimeUS : 47028681, Roll : 0.0, Pitch : -0.08, Yaw : 170.05, Alt : 93.5800018311, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0866465345025, Q2 : 0.000751248386223, Q3 : -6.44161264063e-05, Q4 : 0.996238827705}
2019-09-29 18:20:17.49: SIM {TimeUS : 47128641, Roll : -0.01, Pitch : -0.03, Yaw : 170.05, Alt : 93.8099975586, Lat : 69.7758386, Lng : 19.5489305, Q1 : 0.0866722762585, Q2 : 0.000322255829815, Q3 : -0.000124067213619, Q4 : 0.996236801147}
